scheduler,id,arrival,burst,start,exit,waiting,turnaround,response
FCFS,8542,271,59,13785,13844,13514,13573,13514
FCFS,5527,271,53,13844,13897,13573,13626,13573
FCFS,1332,271,51,13897,13948,13626,13677,13626
FCFS,5163,272,84,13948,14032,13676,13760,13676
FCFS,3076,276,52,14032,14084,13756,13808,13756
FCFS,6089,277,7,14084,14091,13807,13814,13807
FCFS,9946,277,86,14091,14177,13814,13900,13814
FCFS,1479,277,48,14177,14225,13900,13948,13900
FCFS,3338,277,53,14225,14278,13948,14001,13948
FCFS,4890,277,91,14278,14369,14001,14092,14001
FCFS,3515,278,26,14369,14395,14091,14117,14091
FCFS,4988,279,12,14395,14407,14116,14128,14116
FCFS,1754,281,48,14407,14455,14126,14174,14126
FCFS,6894,282,26,14455,14481,14173,14199,14173
FCFS,2567,282,93,14481,14574,14199,14292,14199
FCFS,5937,283,8,14574,14582,14291,14299,14291
FCFS,2016,285,4,14582,14586,14297,14301,14297
FCFS,2712,285,15,14586,14601,14301,14316,14301
FCFS,4902,287,78,14601,14679,14314,14392,14314
FCFS,3509,289,34,14679,14713,14390,14424,14390
FCFS,7933,292,47,14713,14760,14421,14468,14421
FCFS,1463,294,70,14760,14830,14466,14536,14466
FCFS,5777,294,46,14830,14876,14536,14582,14536
FCFS,3818,294,64,14876,14940,14582,14646,14582
FCFS,7505,294,19,14940,14959,14646,14665,14646
FCFS,8816,295,79,14959,15038,14664,14743,14664
FCFS,9774,296,78,15038,15116,14742,14820,14742
FCFS,4954,297,91,15116,15207,14819,14910,14819
FCFS,8205,298,32,15207,15239,14909,14941,14909
FCFS,5103,298,74,15239,15313,14941,15015,14941
FCFS,6048,300,55,15313,15368,15013,15068,15013
FCFS,2274,301,66,15368,15434,15067,15133,15067
FCFS,309,301,80,15434,15514,15133,15213,15133
FCFS,793,302,4,15514,15518,15212,15216,15212
FCFS,1800,302,81,15518,15599,15216,15297,15216
FCFS,5340,305,31,15599,15630,15294,15325,15294
FCFS,1653,306,12,15630,15642,15324,15336,15324
FCFS,8191,307,42,15642,15684,15335,15377,15335
FCFS,4388,307,15,15684,15699,15377,15392,15377
FCFS,4494,307,92,15699,15791,15392,15484,15392
FCFS,6230,308,38,15791,15829,15483,15521,15483
FCFS,4590,310,21,15829,15850,15519,15540,15519
FCFS,7110,312,33,15850,15883,15538,15571,15538
FCFS,6522,314,2,15883,15885,15569,15571,15569
FCFS,4412,314,25,15885,15910,15571,15596,15571
FCFS,1426,317,79,15910,15989,15593,15672,15593
FCFS,6625,317,59,15989,16048,15672,15731,15672
FCFS,7559,320,9,16048,16057,15728,15737,15728
FCFS,4929,320,75,16057,16132,15737,15812,15737
FCFS,6658,324,12,16132,16144,15808,15820,15808
FCFS,8821,324,71,16144,16215,15820,15891,15820
FCFS,7987,325,62,16215,16277,15890,15952,15890
FCFS,5048,325,73,16277,16350,15952,16025,15952
FCFS,7226,328,5,16350,16355,16022,16027,16022
FCFS,8405,329,84,16355,16439,16026,16110,16026
FCFS,9407,329,55,16439,16494,16110,16165,16110
FCFS,1256,329,54,16494,16548,16165,16219,16165
FCFS,7352,331,3,16548,16551,16217,16220,16217
FCFS,9930,331,80,16551,16631,16220,16300,16220
FCFS,2847,331,31,16631,16662,16300,16331,16300
FCFS,4399,336,92,16662,16754,16326,16418,16326
FCFS,1262,338,77,16754,16831,16416,16493,16416
FCFS,7314,340,97,16831,16928,16491,16588,16491
FCFS,2033,340,80,16928,17008,16588,16668,16588
FCFS,2797,340,2,17008,17010,16668,16670,16668
FCFS,2980,340,81,17010,17091,16670,16751,16670
FCFS,1183,341,38,17091,17129,16750,16788,16750
FCFS,2748,342,93,17129,17222,16787,16880,16787
FCFS,6555,343,80,17222,17302,16879,16959,16879
FCFS,5957,343,56,17302,17358,16959,17015,16959
FCFS,995,345,1,17358,17359,17013,17014,17013
FCFS,4385,348,91,17359,17450,17011,17102,17011
FCFS,8333,349,5,17450,17455,17101,17106,17101
FCFS,6782,350,44,17455,17499,17105,17149,17105
FCFS,8736,352,27,17499,17526,17147,17174,17147
FCFS,1665,352,88,17526,17614,17174,17262,17174
FCFS,6678,354,91,17614,17705,17260,17351,17260
FCFS,7245,355,70,17705,17775,17350,17420,17350
FCFS,7917,356,68,17775,17843,17419,17487,17419
FCFS,2985,358,32,17843,17875,17485,17517,17485
FCFS,9399,358,3,17875,17878,17517,17520,17517
FCFS,7989,358,85,17878,17963,17520,17605,17520
FCFS,2901,359,67,17963,18030,17604,17671,17604
FCFS,1442,362,24,18030,18054,17668,17692,17668
FCFS,6127,363,51,18054,18105,17691,17742,17691
FCFS,3049,364,41,18105,18146,17741,17782,17741
FCFS,6440,364,64,18146,18210,17782,17846,17782
FCFS,8723,364,17,18210,18227,17846,17863,17846
FCFS,799,364,80,18227,18307,17863,17943,17863
FCFS,8830,364,37,18307,18344,17943,17980,17943
FCFS,4111,365,72,18344,18416,17979,18051,17979
FCFS,2215,365,40,18416,18456,18051,18091,18051
FCFS,7723,368,68,18456,18524,18088,18156,18088
FCFS,3761,369,73,18524,18597,18155,18228,18155
FCFS,4072,370,69,18597,18666,18227,18296,18227
FCFS,8213,370,11,18666,18677,18296,18307,18296
FCFS,5030,371,58,18677,18735,18306,18364,18306
FCFS,5670,371,31,18735,18766,18364,18395,18364
FCFS,8640,372,16,18766,18782,18394,18410,18394
FCFS,1697,374,83,18782,18865,18408,18491,18408
FCFS,5127,375,17,18865,18882,18490,18507,18490
FCFS,5646,378,87,18882,18969,18504,18591,18504
FCFS,7650,378,77,18969,19046,18591,18668,18591
FCFS,2981,382,80,19046,19126,18664,18744,18664
FCFS,5665,382,55,19126,19181,18744,18799,18744
FCFS,8956,382,98,19181,19279,18799,18897,18799
FCFS,4076,383,65,19279,19344,18896,18961,18896
FCFS,676,384,37,19344,19381,18960,18997,18960
FCFS,8171,386,10,19381,19391,18995,19005,18995
FCFS,9287,386,75,19391,19466,19005,19080,19005
FCFS,2864,386,31,19466,19497,19080,19111,19080
FCFS,6827,386,79,19497,19576,19111,19190,19111
FCFS,3632,389,39,19576,19615,19187,19226,19187
FCFS,9613,390,58,19615,19673,19225,19283,19225
FCFS,1283,390,29,19673,19702,19283,19312,19283
FCFS,5178,390,78,19702,19780,19312,19390,19312
FCFS,7805,391,70,19780,19850,19389,19459,19389
FCFS,97,391,7,19850,19857,19459,19466,19459
FCFS,2667,392,12,19857,19869,19465,19477,19465
FCFS,7289,392,71,19869,19940,19477,19548,19477
FCFS,2177,392,90,19940,20030,19548,19638,19548
FCFS,7861,393,42,20030,20072,19637,19679,19637
FCFS,7473,395,6,20072,20078,19677,19683,19677
FCFS,517,395,68,20078,20146,19683,19751,19683
FCFS,6056,397,22,20146,20168,19749,19771,19749
FCFS,8063,400,75,20168,20243,19768,19843,19768
FCFS,6433,402,30,20243,20273,19841,19871,19841
FCFS,6607,403,36,20273,20309,19870,19906,19870
FCFS,5246,404,80,20309,20389,19905,19985,19905
FCFS,677,404,65,20389,20454,19985,20050,19985
FCFS,7713,404,21,20454,20475,20050,20071,20050
FCFS,2754,405,79,20475,20554,20070,20149,20070
FCFS,1869,406,96,20554,20650,20148,20244,20148
FCFS,3580,406,19,20650,20669,20244,20263,20244
FCFS,4656,406,74,20669,20743,20263,20337,20263
FCFS,486,412,64,20743,20807,20331,20395,20331
FCFS,9209,415,9,20807,20816,20392,20401,20392
FCFS,477,417,6,20816,20822,20399,20405,20399
FCFS,6564,418,92,20822,20914,20404,20496,20404
FCFS,9485,419,14,20914,20928,20495,20509,20495
FCFS,966,419,46,20928,20974,20509,20555,20509
FCFS,2124,419,75,20974,21049,20555,20630,20555
FCFS,8161,421,68,21049,21117,20628,20696,20628
FCFS,5263,421,72,21117,21189,20696,20768,20696
FCFS,4720,422,91,21189,21280,20767,20858,20767
FCFS,2689,423,76,21280,21356,20857,20933,20857
FCFS,9626,427,62,21356,21418,20929,20991,20929
FCFS,9528,430,16,21418,21434,20988,21004,20988
FCFS,8895,432,80,21434,21514,21002,21082,21002
FCFS,3146,436,48,21514,21562,21078,21126,21078
FCFS,9509,437,47,21562,21609,21125,21172,21125
FCFS,6849,437,58,21609,21667,21172,21230,21172
FCFS,5877,437,14,21667,21681,21230,21244,21230
FCFS,8246,440,6,21681,21687,21241,21247,21241
FCFS,2654,441,48,21687,21735,21246,21294,21246
FCFS,5223,441,20,21735,21755,21294,21314,21294
FCFS,2935,442,72,21755,21827,21313,21385,21313
FCFS,9719,444,66,21827,21893,21383,21449,21383
FCFS,6474,445,64,21893,21957,21448,21512,21448
FCFS,4337,446,77,21957,22034,21511,21588,21511
FCFS,8701,446,6,22034,22040,21588,21594,21588
FCFS,5676,446,36,22040,22076,21594,21630,21594
FCFS,2314,448,79,22076,22155,21628,21707,21628
FCFS,3644,451,15,22155,22170,21704,21719,21704
FCFS,6450,452,46,22170,22216,21718,21764,21718
FCFS,7323,453,76,22216,22292,21763,21839,21763
FCFS,1837,454,16,22292,22308,21838,21854,21838
FCFS,9269,456,72,22308,22380,21852,21924,21852
FCFS,1632,458,75,22380,22455,21922,21997,21922
FCFS,2664,459,87,22455,22542,21996,22083,21996
FCFS,7777,462,19,22542,22561,22080,22099,22080
FCFS,5652,463,63,22561,22624,22098,22161,22098
FCFS,4830,464,7,22624,22631,22160,22167,22160
FCFS,4246,464,41,22631,22672,22167,22208,22167
FCFS,7,466,54,22672,22726,22206,22260,22206
FCFS,7084,470,90,22726,22816,22256,22346,22256
FCFS,6121,471,60,22816,22876,22345,22405,22345
FCFS,3018,475,87,22876,22963,22401,22488,22401
FCFS,2550,475,57,22963,23020,22488,22545,22488
FCFS,9747,477,70,23020,23090,22543,22613,22543
FCFS,5522,478,67,23090,23157,22612,22679,22612
FCFS,9551,480,19,23157,23176,22677,22696,22677
FCFS,1228,481,98,23176,23274,22695,22793,22695
FCFS,8743,481,84,23274,23358,22793,22877,22793
FCFS,1938,482,93,23358,23451,22876,22969,22876
FCFS,8214,486,32,23451,23483,22965,22997,22965
FCFS,1820,488,70,23483,23553,22995,23065,22995
FCFS,3813,489,15,23553,23568,23064,23079,23064
FCFS,4048,489,46,23568,23614,23079,23125,23079
FCFS,8904,489,44,23614,23658,23125,23169,23125
FCFS,5434,490,81,23658,23739,23168,23249,23168
FCFS,7128,490,35,23739,23774,23249,23284,23249
FCFS,3384,492,66,23774,23840,23282,23348,23282
FCFS,9730,493,68,23840,23908,23347,23415,23347
FCFS,9843,493,41,23908,23949,23415,23456,23415
FCFS,5380,494,16,23949,23965,23455,23471,23455
FCFS,7452,495,16,23965,23981,23470,23486,23470
FCFS,5982,495,26,23981,24007,23486,23512,23486
FCFS,8637,496,96,24007,24103,23511,23607,23511
FCFS,9726,496,48,24103,24151,23607,23655,23607
FCFS,4428,497,87,24151,24238,23654,23741,23654
FCFS,5782,498,84,24238,24322,23740,23824,23740
FCFS,9074,500,99,24322,24421,23822,23921,23822
FCFS,6822,501,60,24421,24481,23920,23980,23920
FCFS,116,502,53,24481,24534,23979,24032,23979
FCFS,9438,502,76,24534,24610,24032,24108,24032
FCFS,597,504,36,24610,24646,24106,24142,24106
FCFS,3969,504,68,24646,24714,24142,24210,24142
FCFS,5169,506,50,24714,24764,24208,24258,24208
FCFS,5202,507,71,24764,24835,24257,24328,24257
FCFS,3582,508,48,24835,24883,24327,24375,24327
FCFS,6646,508,66,24883,24949,24375,24441,24375
FCFS,5755,512,16,24949,24965,24437,24453,24437
FCFS,410,512,51,24965,25016,24453,24504,24453
FCFS,2313,514,10,25016,25026,24502,24512,24502
FCFS,1638,514,54,25026,25080,24512,24566,24512
FCFS,5523,515,84,25080,25164,24565,24649,24565
FCFS,3704,517,50,25164,25214,24647,24697,24647
FCFS,8044,519,49,25214,25263,24695,24744,24695
FCFS,2253,521,38,25263,25301,24742,24780,24742
FCFS,3217,522,19,25301,25320,24779,24798,24779
FCFS,6091,523,50,25320,25370,24797,24847,24797
FCFS,778,523,78,25370,25448,24847,24925,24847
FCFS,6844,524,67,25448,25515,24924,24991,24924
FCFS,1694,525,90,25515,25605,24990,25080,24990
FCFS,9495,526,45,25605,25650,25079,25124,25079
FCFS,2752,526,13,25650,25663,25124,25137,25124
FCFS,1559,526,42,25663,25705,25137,25179,25137
FCFS,9172,527,50,25705,25755,25178,25228,25178
FCFS,4320,529,28,25755,25783,25226,25254,25226
FCFS,1688,529,60,25783,25843,25254,25314,25254
FCFS,4003,531,74,25843,25917,25312,25386,25312
FCFS,6108,534,53,25917,25970,25383,25436,25383
FCFS,5856,534,32,25970,26002,25436,25468,25436
FCFS,2084,536,31,26002,26033,25466,25497,25466
FCFS,1040,536,32,26033,26065,25497,25529,25497
FCFS,346,537,87,26065,26152,25528,25615,25528
FCFS,9694,537,23,26152,26175,25615,25638,25615
FCFS,3261,539,69,26175,26244,25636,25705,25636
FCFS,637,539,41,26244,26285,25705,25746,25705
FCFS,8299,539,21,26285,26306,25746,25767,25746
FCFS,7021,540,15,26306,26321,25766,25781,25766
FCFS,2374,541,14,26321,26335,25780,25794,25780
FCFS,7072,541,15,26335,26350,25794,25809,25794
FCFS,6333,544,78,26350,26428,25806,25884,25806
FCFS,9255,544,40,26428,26468,25884,25924,25884
FCFS,1324,545,6,26468,26474,25923,25929,25923
FCFS,6249,545,58,26474,26532,25929,25987,25929
FCFS,6129,545,60,26532,26592,25987,26047,25987
FCFS,6966,546,96,26592,26688,26046,26142,26046
FCFS,5893,547,29,26688,26717,26141,26170,26141
